# Title : Trajectory directory file of the Argo global Data Assembly Center
# Description : The directory file describes all trajectory files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20080326002327
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,latitude_max,latitude_min,longitude_max,longitude_min,profiler_type,institution,date_update
aoml/1900497/1900497_traj.nc,-24.451,-26.212,-7.396,-11.42,851,AO,20080322101912
aoml/1900498/1900498_traj.nc,-21.314,-24.608,-14.469,-22.865,852,AO,20080324101919
aoml/1900499/1900499_traj.nc,-19.986,-24.165,-17.821,-21.291,851,AO,20080323101945
aoml/1900504/1900504_traj.nc,14.887,6.516,-24.383,-44.849,852,AO,20080319102018
aoml/1900505/1900505_traj.nc,20.913,16.866,-23.8833,-34.123,852,AO,20080319102020
aoml/1900506/1900506_traj.nc,-24.162,-34.174,10.206,3.405,851,AO,20080321101915
aoml/1900525/1900525_traj.nc,-27.324,-33.528,-5,-20.503,852,AO,20080323102113
aoml/1900526/1900526_traj.nc,-31.761,-38.061,1.199,-17.073,852,AO,20080324102024
aoml/1900527/1900527_traj.nc,2.874,-0.466,2.16967,-14.168,852,AO,20080324102026
aoml/1900528/1900528_traj.nc,6.354,-3.228,2.507,-19.64,851,AO,20080325101839
aoml/1900532/1900532_traj.nc,-32.002,-36.646,-20,-32.99,851,AO,20080322102116
aoml/1900533/1900533_traj.nc,-26.724,-35.912,10.758,2.166,852,AO,20080319102230
aoml/1900538/1900538_traj.nc,-12.967,-16.223,-7.821,-14.836,851,AO,20080321102020
aoml/1900539/1900539_traj.nc,-6.829,-8.1,-13.687,-32.179,852,AO,20080322102114
aoml/1900560/1900560_traj.nc,7.54,5.039,-24.861,-31.582,852,AO,20080325101925
aoml/1900561/1900561_traj.nc,4.793,-2.066,-3.624,-22.937,852,AO,20080322102008
aoml/1900562/1900562_traj.nc,34.546,29.426,-17.96,-23.81,852,AO,20080319102245
aoml/1900563/1900563_traj.nc,37.493,31.755,-22.963,-31.438,852,AO,20080320102047
aoml/1900564/1900564_traj.nc,-23.459,-27.441,-17.952,-29.058,852,AO,20080321102030
aoml/1900565/1900565_traj.nc,-25.029,-32.011,-10.6333,-15.554,851,AO,20080321102036
aoml/1900566/1900566_traj.nc,-25.756,-31.311,2.86667,-16.36,852,AO,20080323102247
aoml/1900572/1900572_traj.nc,24.893,22.5,-18.585,-26.335,851,AO,20080320102055
aoml/1900573/1900573_traj.nc,-50.524,-55.489,41.204,0.0171667,852,AO,20080320102109
aoml/1900575/1900575_traj.nc,-31.954,-42.863,67.102,12.2467,851,AO,20080323102304
aoml/1900579/1900579_traj.nc,-52.914,-57.818,48.657,-0.0198333,851,AO,20080319102349
aoml/1900580/1900580_traj.nc,-16.901,-19.716,-1.592,-13.812,851,AO,20080323102406
aoml/1900581/1900581_traj.nc,-20.393,-23.649,1.981,-14.804,851,AO,20080322102238
aoml/1900582/1900582_traj.nc,-23.087,-26.614,6.72633,-7.172,852,AO,20080322102239
aoml/1900583/1900583_traj.nc,-4.822,-6.93,-16.684,-29.597,852,AO,20080325102047
aoml/1900584/1900584_traj.nc,-8.966,-11.546,-12.103,-17.571,851,AO,20080324102216
aoml/1900635/1900635_traj.nc,37.705,33.356,-7.485,-19.237,852,AO,20080319102416
aoml/1900636/1900636_traj.nc,33.804,27.302,-22.056,-29.368,852,AO,20080319102421
aoml/1900637/1900637_traj.nc,37.572,32.281,-27.117,-35.012,852,AO,20080320102205
aoml/1900638/1900638_traj.nc,31.95,23.697,-33.435,-46.853,851,AO,20080323102404
aoml/1900639/1900639_traj.nc,24.176,20.791,-44.707,-50.087,852,AO,20080320102207
aoml/1900640/1900640_traj.nc,-21.436,-34.952,10.339,4.065,852,AO,20080320102049
aoml/1900641/1900641_traj.nc,-27.513,-35.51,10.138,0.669,852,AO,20080319102251
aoml/1900644/1900644_traj.nc,-18.778,-21.901,-22.773,-28.308,851,AO,20080319102423
aoml/1900645/1900645_traj.nc,-19.276,-22.796,-24.461,-31.494,852,AO,20080320102210
